2026-01-30 01:43:29.556 +07 | INFO     | Line   30 (chat.py): [INIT] ChatService initialized with query understanding pipeline
2026-01-30 01:43:30.658 +07 | INFO     | Line   16 (pool.py): Postgres pool initialized
2026-01-30 01:45:36.757 +07 | INFO     | Line   68 (chat.py): [PIPELINE START] Session: b7287d99-a1ff-463d-855a-799aae09b4ae, Query: 'Hãy kể tôi nghe 1 câu chuyện ngắn đi...'
2026-01-30 01:45:36.767 +07 | DEBUG    | Line   76 (chat.py): Loaded 10 messages from session
2026-01-30 01:45:36.773 +07 | INFO     | Line   84 (chat.py): Query Understanding: Checking for ambiguity...
2026-01-30 01:45:39.894 +07 | WARNING  | Line   92 (chat.py): Query is AMBIGUOUS. Rewritten: None
2026-01-30 01:45:39.909 +07 | INFO     | Line   73 (chat.py): Save user message to database...
2026-01-30 01:45:39.911 +07 | INFO     | Line  101 (chat.py): Generating clarifying questions...
2026-01-30 01:45:39.911 +07 | INFO     | Line  106 (chat.py): Clarifying questions: ['Bạn đang muốn nghe câu chuyện về chủ đề gì?', 'Bạn có thích thể loại câu chuyện nào không?', 'Câu chuyện nên có độ dài khoảng bao nhiêu?']
2026-01-30 01:45:39.916 +07 | INFO     | Line   73 (chat.py): Save assistant message to database...
2026-01-30 01:50:23.561 +07 | INFO     | Line   29 (pool.py): Postgres pool closed
2026-01-30 01:50:48.484 +07 | INFO     | Line   16 (pool.py): Postgres pool initialized
2026-01-30 01:52:47.130 +07 | INFO     | Line   66 (chat.py): [PIPELINE START] Session: b7287d99-a1ff-463d-855a-799aae09b4ae, Query: 'Hãy kể tôi nghe 1 câu chuyện ngắn đi...'
2026-01-30 01:52:47.138 +07 | DEBUG    | Line   74 (chat.py): Loaded 10 messages from session
2026-01-30 01:52:47.144 +07 | INFO     | Line   82 (chat.py): Query Understanding: Checking for ambiguity...
2026-01-30 01:52:49.865 +07 | WARNING  | Line   90 (chat.py): Query is AMBIGUOUS. Rewritten: None
2026-01-30 01:52:49.876 +07 | INFO     | Line   73 (chat.py): Save user message to database...
2026-01-30 01:52:49.877 +07 | INFO     | Line   99 (chat.py): Generating clarifying questions...
2026-01-30 01:52:49.878 +07 | INFO     | Line  104 (chat.py): Clarifying questions: ['Bạn đang muốn nghe câu chuyện về chủ đề gì?', 'Bạn có thích thể loại câu chuyện nào không?', 'Câu chuyện nên có độ dài khoảng bao nhiêu?']
2026-01-30 01:52:49.883 +07 | INFO     | Line   73 (chat.py): Save assistant message to database...
2026-01-30 01:54:20.231 +07 | INFO     | Line   66 (chat.py): [PIPELINE START] Session: b7287d99-a1ff-463d-855a-799aae09b4ae, Query: 'Hãy kể tôi nghe 1 câu chuyện ngắn đi...'
2026-01-30 01:54:20.242 +07 | DEBUG    | Line   74 (chat.py): Loaded 10 messages from session
2026-01-30 01:54:20.246 +07 | INFO     | Line   82 (chat.py): Query Understanding: Checking for ambiguity...
2026-01-30 01:54:23.652 +07 | WARNING  | Line   90 (chat.py): Query is AMBIGUOUS. Rewritten: None
2026-01-30 01:54:23.657 +07 | INFO     | Line   73 (chat.py): Save user message to database...
2026-01-30 01:54:23.658 +07 | INFO     | Line   99 (chat.py): Generating clarifying questions...
2026-01-30 01:54:23.658 +07 | INFO     | Line  104 (chat.py): Clarifying questions: ['Bạn đang muốn nghe câu chuyện về chủ đề gì?', 'Bạn có thích thể loại câu chuyện nào không?', 'Câu chuyện nên có độ dài khoảng bao nhiêu?']
2026-01-30 01:54:23.664 +07 | INFO     | Line   73 (chat.py): Save assistant message to database...
2026-01-30 01:54:30.606 +07 | INFO     | Line   29 (pool.py): Postgres pool closed
2026-01-30 01:54:55.924 +07 | INFO     | Line   16 (pool.py): Postgres pool initialized
2026-01-30 01:55:08.210 +07 | INFO     | Line   66 (chat.py): [PIPELINE START] Session: b7287d99-a1ff-463d-855a-799aae09b4ae, Query: 'Hãy kể tôi nghe 1 câu chuyện ngắn đi...'
2026-01-30 01:55:08.217 +07 | DEBUG    | Line   74 (chat.py): Loaded 10 messages from session
2026-01-30 01:55:08.222 +07 | INFO     | Line   81 (chat.py): Query Understanding: Checking for ambiguity...
2026-01-30 01:55:14.448 +07 | INFO     | Line   29 (pool.py): Postgres pool closed
2026-01-30 01:55:47.380 +07 | INFO     | Line   16 (pool.py): Postgres pool initialized
2026-01-30 01:56:24.073 +07 | INFO     | Line   66 (chat.py): [PIPELINE START] Session: b7287d99-a1ff-463d-855a-799aae09b4ae, Query: 'Hãy kể tôi nghe 1 câu chuyện ngắn đi...'
2026-01-30 01:56:24.079 +07 | DEBUG    | Line   74 (chat.py): Loaded 10 messages from session
2026-01-30 01:56:24.083 +07 | INFO     | Line   81 (chat.py): Query Understanding: Checking for ambiguity...
2026-01-30 01:56:24.084 +07 | INFO     | Line   82 (chat.py): Recent messages: ['user: Hãy kể tôi nghe 1 câu chuyện ngắn đi', 'assistant: Câu hỏi của bạn chưa rõ ràng. Bạn có thể làm rõ :\n\n- Bạn đang muốn nghe câu chuyện về chủ đề gì?\n- Bạn có thích thể loại câu chuyện nào không?\n- Câu chuyện nên có độ dài khoảng bao nhiêu?', 'user: Hãy kể tôi nghe 1 câu chuyện ngắn đi', 'assistant: Câu hỏi của bạn chưa rõ ràng. Bạn có thể làm rõ :\n\n- Bạn đang muốn nghe câu chuyện về chủ đề gì?\n- Bạn có thích thể loại câu chuyện nào không?\n- Câu chuyện nên có độ dài khoảng bao nhiêu?', 'user: Hãy kể tôi nghe 1 câu chuyện ngắn đi', 'assistant: Câu hỏi của bạn chưa rõ ràng. Bạn có thể làm rõ :\n\n- Bạn đang muốn nghe câu chuyện về chủ đề gì?\n- Bạn có thích thể loại câu chuyện nào không?\n- Câu chuyện nên có độ dài khoảng bao nhiêu?']
2026-01-30 01:56:27.287 +07 | WARNING  | Line   90 (chat.py): Query is AMBIGUOUS. Rewritten: None
2026-01-30 01:56:27.295 +07 | INFO     | Line   73 (chat.py): Save user message to database...
2026-01-30 01:56:27.295 +07 | INFO     | Line   99 (chat.py): Generating clarifying questions...
2026-01-30 01:56:27.296 +07 | INFO     | Line  104 (chat.py): Clarifying questions: ['Bạn đang muốn nghe câu chuyện về chủ đề gì?', 'Bạn có thích thể loại câu chuyện nào không?', 'Câu chuyện nên có độ dài khoảng bao nhiêu?']
2026-01-30 01:56:27.309 +07 | INFO     | Line   73 (chat.py): Save assistant message to database...
2026-01-30 01:57:04.636 +07 | INFO     | Line   66 (chat.py): [PIPELINE START] Session: b7287d99-a1ff-463d-855a-799aae09b4ae, Query: 'Hãy kể tôi nghe 1 câu chuyện ngắn bất kỳ đi
...'
2026-01-30 01:57:04.641 +07 | DEBUG    | Line   74 (chat.py): Loaded 10 messages from session
2026-01-30 01:57:04.644 +07 | INFO     | Line   81 (chat.py): Query Understanding: Checking for ambiguity...
2026-01-30 01:57:04.645 +07 | INFO     | Line   82 (chat.py): Recent messages: ['user: Hãy kể tôi nghe 1 câu chuyện ngắn đi', 'assistant: Câu hỏi của bạn chưa rõ ràng. Bạn có thể làm rõ :\n\n- Bạn đang muốn nghe câu chuyện về chủ đề gì?\n- Bạn có thích thể loại câu chuyện nào không?\n- Câu chuyện nên có độ dài khoảng bao nhiêu?', 'user: Hãy kể tôi nghe 1 câu chuyện ngắn đi', 'assistant: Câu hỏi của bạn chưa rõ ràng. Bạn có thể làm rõ :\n\n- Bạn đang muốn nghe câu chuyện về chủ đề gì?\n- Bạn có thích thể loại câu chuyện nào không?\n- Câu chuyện nên có độ dài khoảng bao nhiêu?', 'user: Hãy kể tôi nghe 1 câu chuyện ngắn đi', 'assistant: Câu hỏi của bạn chưa rõ ràng. Bạn có thể làm rõ :\n\n- Bạn đang muốn nghe câu chuyện về chủ đề gì?\n- Bạn có thích thể loại câu chuyện nào không?\n- Câu chuyện nên có độ dài khoảng bao nhiêu?']
2026-01-30 01:57:07.531 +07 | WARNING  | Line   90 (chat.py): Query is AMBIGUOUS. Rewritten: None
2026-01-30 01:57:07.536 +07 | INFO     | Line   73 (chat.py): Save user message to database...
2026-01-30 01:57:07.537 +07 | INFO     | Line   99 (chat.py): Generating clarifying questions...
2026-01-30 01:57:07.538 +07 | INFO     | Line  104 (chat.py): Clarifying questions: ['Bạn đang muốn nghe câu chuyện về chủ đề gì?', 'Bạn có thích thể loại câu chuyện nào không?', 'Câu chuyện nên có độ dài khoảng bao nhiêu?']
2026-01-30 01:57:07.542 +07 | INFO     | Line   73 (chat.py): Save assistant message to database...
2026-01-30 01:58:31.901 +07 | INFO     | Line   73 (chat.py): Save system message to database...
2026-01-30 01:58:44.368 +07 | INFO     | Line   66 (chat.py): [PIPELINE START] Session: d096c385-ad25-4b9b-82b1-1ccdcf95dbfd, Query: 'tôi muốn hiểu thêm về kiến trúc transformer...'
2026-01-30 01:58:44.376 +07 | DEBUG    | Line   74 (chat.py): Loaded 1 messages from session
2026-01-30 01:58:44.381 +07 | INFO     | Line   81 (chat.py): Query Understanding: Checking for ambiguity...
2026-01-30 01:58:44.382 +07 | INFO     | Line   82 (chat.py): Recent messages: ['system: Bạn là một trợ lý AI thông minh, chuện xác và hữu ích. Hãy trả lời bằng tiếng Việt một cách tự nhiên, rõ ràng và chi tiết.']
2026-01-30 01:58:46.616 +07 | INFO     | Line   92 (chat.py): Query is clear, no rewriting needed
2026-01-30 01:58:46.622 +07 | INFO     | Line   73 (chat.py): Save user message to database...
2026-01-30 01:58:46.622 +07 | DEBUG    | Line  118 (chat.py): Final query for LLM: 'tôi muốn hiểu thêm về kiến trúc transformer...'
2026-01-30 01:58:46.769 +07 | INFO     | Line  123 (chat.py): Messages: 2, Tokens: 80
2026-01-30 01:58:46.770 +07 | DEBUG    | Line  135 (chat.py): No summarization needed (threshold not reached)
2026-01-30 01:58:46.772 +07 | INFO     | Line  140 (chat.py): Context Augmentation: Building augmented context...
2026-01-30 01:58:46.773 +07 | DEBUG    | Line  150 (chat.py): Augmented context length: 264 chars
2026-01-30 01:58:46.774 +07 | SUCCESS  | Line  154 (chat.py): Preprocessing complete. Ready for LLM call.
2026-01-30 01:59:01.378 +07 | INFO     | Line   73 (chat.py): Save assistant message to database...
2026-01-30 01:59:12.239 +07 | INFO     | Line   66 (chat.py): [PIPELINE START] Session: d096c385-ad25-4b9b-82b1-1ccdcf95dbfd, Query: 'attention là gì...'
2026-01-30 01:59:12.243 +07 | DEBUG    | Line   74 (chat.py): Loaded 3 messages from session
2026-01-30 01:59:12.247 +07 | INFO     | Line   81 (chat.py): Query Understanding: Checking for ambiguity...
